Группы,,Задача 1,Комментрарий 1,Задача 2,Комментрарий 2,Задача 3,Комментрарий 3,Задача 4,Комментрарий 4,Итого КР 1,Комментарии проверяющих
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5 
6) график - 3 из 5 (нет кр. безразличия)",46,"1) оптимальный набор - 10
2) график - 1 из 5 (на графике нет решения задачи, только кривые безразличия)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",89,
Ц-22-101,,10,,10,нет формулы,16,"1) общий вид -  5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",11,"1) оптимальный набор - 10
2) график - 1 из 5 (только БО)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",47,
П-22-101,,10,,15,,10,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 2 из 5 - при вычислении ошибка
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 (неверно изображена кривая безразличия при выборе )",44,"1) оптимальный набор - 10
2) график - 3 из 5 (нет кривых безразличия)
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 5+3 из 10 (по 1 акции неполное БО)
5) выбор акции - 8 
6) новый выбор - 7 
есть более простые способы решения задач с подобными ф.полезностями",79,
Ц-22-102,,10,,,,,,43,"1) оптимальный набор - 10
2) график - 1 из 5 (только БО)
3) график новые БО - 8 из 10 (нужно на 1 рисунке, нет наклонов)
4) новые БО - 4+5 из 10 (БО 1 акции нет =, нестрогие знаки)
5) выбор акции - 8 
6) новый выбор - 7",53,
Э-22-101,,10,,15,,16,"1) общий вид -  5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",27,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписаны линии)
3) график новые БО - 0+5 из 10 (непонятная БО 1 акции)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (неверное обоснования)
6) новый выбор - 0 из 7 (нет решения)",68,
П-22-101,,10,,15,,20,"1) общий вид -  5
2) MRS - отн цен - 3
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 5 ",30,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 9 из 10 (по 1 акции знаки нестрогие без =)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",75,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",24,"1) оптимальный набор - 6 из 10 (X=2Y, а у вас наоборот)
2) график - 3 из 5 (не та точка, нет кривых безразличия)
3) график новые БО - 2+5 из 10 (неверное БО 1 акции)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",69,
Ц-22-102,,10,,,,,,1,"1) оптимальный набор - 0 из 10 (неверное решение, нет MRS)
2) график - 1 из 5 (только БО, точка неверная)
3) график новые БО - 0 из 10 
4) новые БО - 0 из 10 
5) выбор акции - 0 из 8 (не обосновано)
6) новый выбор - 0 из 7",11,
П-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) кравевые - 5
6) график - 3 (непонятно как посчитано пересечение с осями, нет наклона)",45,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 3+4 из 10 (по 1 акции знаки нестрогие без =, нет объяснений)
5) выбор акции - 8
6) новый выбор - 7",88,
Ц-22-101,,0,неверно выписано БО,15,,15,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 5",26,"1) оптимальный набор - 8 из 10 (арифметические ошибки)
2) график - 5
3) график новые БО - 0+5 из 10
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 (неверное предположение)
6) новый выбор - 0 из 7 (неверное решение)",56,
Ц-22-102,,0,нет обоснования,,,,,10,"1) оптимальный набор - 8 из 10 (арифметическая ошибка)
2) график - 2 из 5 (не полписаны линии, точка неверная)
3) график новые БО - 0 из 10 
4) новые БО - 0 из 10 
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",10,
ЭЦ-22-102,,0,нет объяснений,3,нет объяснений,0,"общего вида нет, решеия нет ",,нет,3,
Э-22-101,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",13,"1) оптимальный набор - 1 из 10 (ответ не следует из решения)
2) график - 1 из 5 (только БО)
3) график новые БО - 0+3 из 10 (непонятная БО 1 акции, по БО 2 акции неверные точки))
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (неверное, не следует из решения)
6) новый выбор - 0 из 7 (ответ не следует из решения)",49,
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",33,"1) оптимальный набор - 9 из 10 (неполное решение)
2) график - 4 из 5 (не отмечено БО)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 4 из 8 (откуда Y=3X/2 ?)
6) новый выбор - 0 из 7 (зачем выбирать старый набор?)",76,
Ц-22-101,,10,,5,неверно определён доход,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые -5 
6) график - 3 из 5 (нет кр. безразличия)",29,"1) оптимальный набор - 10 (для этой функции не нужны краевые решения)
2) график - 3 из 5 (нет кривых безразличия)
3) график новые БО - 0+5 из 10 (по акции 1 неверно)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 (неверное решение)
6) новый выбор - 3 из 7 (арифметическая ошибка, нет проверки по 2й акции)",62,
ЭЦ-22-102,,10,,15,,16,"1) общий вид - 3 из 5 ( ограничение - неравенство) 
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",42,"1) оптимальный набор - 10
2) график - 4 из 5 (не все подписано)
3) график новые БО - 0+5 из 10 (БО 1 акции неверное)
4) новые БО - 3+5 из 10 (неверное БО 1 акции)
5) выбор акции - 8
6) новый выбор - 7",83,
Ц-22-101,,10,,15,,25,,10,"1) оптимальный набор - 10 (значения непрерывные, не нужно округлять)
2) график - 0 из 5
3) график новые БО - 0 из 10 
4) новые БО - 0 из 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",60,
Э-22-101,,10,,15,,19,"1) общий вид - 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 4 из 5 (непонятно как посчитано пересечение с осями)",31,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (вывод ниоткуда не следует)
6) новый выбор - 0 из 7 (ответ ниоткуда не следует)",75,
ЭЦ-22-102,,10,,15,,3,"Непонятно откуда получено решение 
1) набор  - 2 
2) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",,нет,28,
ЭЦ-22-102,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые -  0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график -1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",46,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписано)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 6 из 8 (неполное решение)
6) новый выбор - 7",82,
ЭЦ-22-102,,10,,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые -  0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график -1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",13,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписано)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",49,
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",29,"1) оптимальный набор - 10
2) график - 1 из 5 (на графике только БО)
3) график новые БО - 10
4) новые БО - 3+5 из 10 (знаки нестрогие, БО 1 акци неполное)
5) выбор акции - 0 из 8 (вывод ниоткуда не следует)
6) новый выбор - 0 из 7 (ответ ниоткуда не следует)",72,
П-22-101,,10,,15,,25,,42,"1) оптимальный набор - 9 из 10 (не существует MRS для функции минимум)
2) график - 5
3) график новые БО - 0+5 из 10 (БО 1 акции неверное)
4) новые БО - 4+4 из 10 (по 1 и 2 акции знаки нестрогие без =)
5) выбор акции - 8
6) новый выбор - 7",92,
Ц-22-102,,10,,,,,,15,"1) оптимальный набор - 0 из 10
2) график - 0 из 5
3) график новые БО - 10 
4) новые БО - 0+5 из 10 (БО 1 акции неверное)
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",25,
Э-22-101,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",30,"1) оптимальный набор - 10
2) график - 0 из 5 
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",73,
Э-22-101,,10,"слишком подробно, тратите время",15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",45,"1) оптимальный набор - 10
2) график - 3 из 5 (на графике только кривые безразличия, не подписаны)
3) график новые БО - 8 из 10 (нужно на 1 графике)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 6 из 7 (значения точные!)",83,
Ц-22-101,,10,,15,,0,"неврно сформурована задача потребителя, остальное неверно",22,"1) оптимальный набор - 9 из 10 (значения непрерывные, не нужно округлять)
2) график - 0 из 5 (нет кривых безразличия, неправильно подписаны линии)
3) график новые БО - 10 
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 (неверное предположение)
6) новый выбор - 3 из 7 (недостаточные объяснения",47,
ЭЦ-22-102,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",31,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписано)
3) график новые БО - 0+5 из 10 (неверное БО 1 акции)
4) новые БО - 4+1 из 10 (неверно интерпретировано условие для БО 2 акции)
5) выбор акции - 4 из 8 (совпало с правильным ответом)
6) новый выбор - 3 из 7 (совпало с правильным ответом)",69,
Э-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",15,"1) оптимальный набор - 10
2) график - 0 из 5 (полностью неверно)
3) график новые БО - 0+5 из 10 (БО 1 акции неверно)
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 (вывод ниоткуда не следует)
6) новый выбор - 0 из 7 (ответ ниоткуда не следует)",53,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",13,"1) оптимальный набор - 8 из 10 (значения непрерывные, не нужно округлять, нет MRS для этой функции)
2) график - 5
3) график новые БО - 0 из 10 
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",58,
П-22-101,,10,,15,,20,"1) общий вид -  5
2) MRS - отн цен - 3
3) Найти MRS - 5 
4) набор  - 2 
5) кравевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 5 ",47,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 8 из 10 (нужно было на 1 рисунке, нет наклонов)
4) новые БО - 9 из 10 (по 1 акции знаки нестрогие без =)
5) выбор акции - 8
6) новый выбор - 7",92,
ЭЦ-22-102,,10,,15,,16,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  -  0 из 2 (неверно посчитано)
5) краевые -5
6) график - 3 из 5 (непонятно как посчитано пересечение с осями)",35,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписано)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 0 из 10
5) выбор акции - 7 из 8 (неверный расчет полезности U1)
6) новый выбор - 6 из 7 (арифметическая ошибка)",76,
Э-22-101,,10,,15,,16,"1) общий вид - 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",14,"1) оптимальный набор - 8 из 10 (нет предельной полезности)
2) график - 1 из 5 (верно только БО, не подписаны линии)
3) график новые БО - 0+5 из 10
4) новые БО - 0 из 10 (БО неверные)
5) выбор акции - 0 из 8 (нет решения)
6) новый выбор - 0 из 7",55,
Ц-22-102,,10,,,,,,,,10,
ЭЦ-22-102,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями, нет наклона)",50,,88,
ЭЦ-22-102,,,,15,,15,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  -  2
5) краевые -2 из 5 (непонятно как из Лагранжа видно, что их нет)
6) график - 3 из 5 (непонятно как посчитано пересечение с осями)",,,30,
Ц-22-102,,,,,,,,,,0,
ЭЦ-22-102,,10,,,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые -  0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график -1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",31,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписано)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 2+4 из 10 (неполное решение)
5) выбор акции - 0 из 8 (нет обоснование)
6) новый выбор - 4 из 7 (нет обоснования)",52,
Ц-22-102,,10,,,,,,10,"1) оптимальный набор - 10
2) график - 0 из 5 
3) график новые БО - 0 из 10
4) новые БО - 0 из 10 (какое-то БО, без объяснений и решения)
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",20,
ЭЦ-22-102,,10,,,,,,,нет,10,
Ц-22-101,,10,,15,,16,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",25,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 0+5 из 10 (по 1 акции неверно)
4) новые БО - 0+5 из 10 (по 1 акции неверно)
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 0 из 7",66,
Ц-22-101,,10,,15,,16,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",13,"1) оптимальный набор - 3 из 10 (не нужно проверять краевые)
2) график - 0 из 5 (только БО, значения наоборот)
3) график новые БО - 4+4 из 10 (неверные границы из старого БО)
4) новые БО - 0+2 из 10 (по 1 акции нет решения и неверно, по 2 акции не та цена изменена)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",54,
Ц-22-102,,5,нужно было подставить Y=0,,,,,33,"1) оптимальный набор - 10 (нет КАСАНИЯ! для этой функции)
2) график - 5
3) график новые БО - 8 из 10 (нужны наклоны, на 1 графике)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (не обосновано)
6) новый выбор - 2 из 7 (неполное обоснование, неверный ответ)",38,
Ц-22-102,,10,,,,,,45,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписаны линии)
3) график новые БО - 8 из 10 (нужны наклоны, на 1 графике)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 8 
6) новый выбор - 7",55,
Ц-22-102,,10,,,,,,47,"1) оптимальный набор - 10
2) график - 3 из 5 (нет БО)
3) график новые БО - 9 из 10 (пересекаются на 1 рисунке, нет наклонов)
4) новые БО - 10
5) выбор акции - 8 
6) новый выбор - 7",57,
Э-22-101,,10,,15,,15,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 4 из 5 ( косвенно полученно, что их нет, но впрямую это нигде не обсуждается) 
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",49,"1) оптимальный набор - 10
2) график - 4 из 5 (нужен 1 общий график)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",89,
Ц-22-101,,10,,15,,14,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 0 из 2 ( неверно найден)
5) краевые - 5
6) график - 1 из 5 (только Б.О изображено)",28,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписаны линии, нет кривой безразличия)
3) график новые БО - 0+5 из 10 (по 1 акции неверно)
4) новые БО - 3+5 из 10 (по 1 акции неполное)
5) выбор акции - 0 из 8 (неверное обоснование)
6) новый выбор - 2 из 7 (неполное решение, арифметическая ошибка)",67,
ЭЦ-22-102,,10,,,,,,41,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписано БО)
3) график новые БО - 1+5 из 10 (неверно смещена БО 1 акции)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 7 из 8 (арифметическая ошибка)
6) новый выбор - 6 из 7 (арифметическая ошибка)",51,
Ц-22-101,,10,,15,,23,"1) общий вид - 3 из 5 ( неточно, нужно неравенство)
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 3
5) краевые - 5
6) график - 5",33,"1) оптимальный набор - 9 из 10 (нет MRS для этой функции)
2) график - 4 из 5 (не подписаны линии, вершины углов не на одной линии)
3) график новые БО - 8 из 10 (разные наклоны у бО 1 и 2 акции)
4) новые БО - 4+5 из 10 (в БО 1 акции нестрогие неравенства, нет =)
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 3 из 7 (сравниваются несравнимые точки)",81,
Ц-22-102,,10,,,,,,9,"1) оптимальный набор - 1 из 10 (за задачу потребителя)
2) график - 0 из 5
3) график новые БО - 0 из 10
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8 (неверное обоснование)
6) новый выбор - 0 из 7",19,
ЭЦ-22-102,,10,,,,,,34,"1) оптимальный набор - 6 из 10 (товары НЕ дискретные)
2) график - 2 из 5 (нет кривых безразличия, не подписано)
3) график новые БО - 10
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 4 из 8 (неполное обоснование)
6) новый выбор - 4 из 7 (неполное обоснование)",44,
Ц-22-102,,10,,,,,,44,"1) оптимальный набор - 10 
2) график - 3 из 5 (нет кр. безразличия)
3) график новые БО - 8 из 10 (нужны наклоны, на 1 графике)
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 8
6) новый выбор - 7",54,
П-22-101,,10,,10,нет формулы для индекса,20,"1) общий вид -  5
2) MRS - отн цен - 3
3) Найти MRS - 5 
4) набор  - 2 
5) кравевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 5 ",8,"1) оптимальный набор - 5 из 10 (нет объяснений)
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10 
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",48,
Э-22-101,,10,,15,,16,"1) общий вид - 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",37,"1) оптимальный набор - 10
2) график - 4 из 5 (не подписаны линии)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 0 из 8 
6) новый выбор - 3 из 7 (нет обоснования)",78,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",31,"1) оптимальный набор - 9 из 10 (арифметическая ошибка)
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 10
4) новые БО - 1+5 из 10 (БО 1 акции неверное)
5) выбор акции - 0 из 8 (неверное обоснование)
6) новый выбор - 3 из 7 (нет обоснования)",76,
Ц-22-102,,0,нет обоснования,,,,,,,0,
Э-22-101,,10,,0,"нет формулы, вычисления ошибочны",18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5 
6) график - 3 из 5 (непонятно как посчитано пересечение с осью y, как ведет себя кр. безразличия в точке выбора)",12,"1) оптимальный набор - 10
2) график - 2 из 5 (только БО)
3) график новые БО - 0 из 10
4) новые БО - 0 из 10
5) выбор акции - 0 из 8 
6) новый выбор - 0 из 7",40,
Э-22-101,,0,ответ не следует из решения,15,,11,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 1 из 5 (непонятно как посчитано пересечение с осями, нет наклона., нет кр. безразличия)",27,"1) оптимальный набор - 2 из 10 (решение неполное)
2) график - 1 из 5 (только БО)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 2 из 8 (решение неполное)
6) новый выбор - 2 из 7 (решение неполное)",53,
Ц-22-102,,10,,,,,,18,"1) оптимальный набор - 10 
2) график - 2 из 5 (ничего не подписано, нет кривых безразличия)
3) график новые БО - 0 из 10 (ничего не подписано, неверно)
4) новые БО - 3+3 из 10 (БО 1 акции неполное, БО 2 акции не на то 50% скидка)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",28,
ЭЦ-22-102,,10,,,,,,48,"1) оптимальный набор - 10
2) график - 3 из 5 (нет кривых безразличий, не подписаны)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",58,
П-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 (нет кр. безразличия)",43,"1) оптимальный набор - 10
2) график - 4 из 5 (нет кривых безразличия)
3) график новые БО - 1+5 из 10 (БО 1 акции неверное)
4) новые БО - 3+5 из 10 (по 1 акции неполное БО)
5) выбор акции - 8
6) новый выбор - 7",81,
Э-22-101,,,,,,,,,,0,
Ц-22-101,,10,,15,,13,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3 из 5 (нет кр. безразличия)",9,"1) оптимальный набор - 0 из 10 (уравнения не следуют из предыдущих, про дискретность не сказано в условии)
2) график - 1 из 5 (не подписаны линии, нет кривых безразличия)
3) график новые БО - 3+5 из 10 (непонятно, какое БО к 1 акции)
4) новые БО - 0+5 из 10 (БО 1 акции неверное)
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 0 из 7 (нет решения или обоснования)",47,
Ц-22-102,,0,нет обоснования,,,,,8,"1) оптимальный набор - 0 из 10 (не диф. функция, нельзя через Лагранжа решать)
2) график - 0 из 5 (неверно)
3) график новые БО - 0 из 10
4) новые БО - 3+5 из 10 (БО 1 акции неполное)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",8,
ЭЦ-22-102,,10,,,,,,21,"1) оптимальный набор - 0 из 10 (ответ не следует из решения)
2) график - 3 из 5 (не подписаноы, нет кривых безразличий)
3) график новые БО - 8 из 10 (нужно на 1 рисунке)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8 (ответ не следует из решения)
6) новый выбор - 2 из 7 (ответ не следует из решения)",31,
,,10,,,,,,0,неверно выписана з.потребителя,10,
